x,y,z
-0.4375,-0.005615234,0.936279297
-0.434082031,-0.008056641,0.938964844
-0.432373047,-0.004638672,0.942382813
-0.432373047,-0.010742188,0.94140625
-0.435791016,-0.003417969,0.938476563
-0.436279297,-0.008056641,0.934570313
-0.435058594,-0.008300781,0.936767578
-0.434814453,-0.005615234,0.942626953
-0.431396484,-0.003173828,0.943359375
-0.434570313,-0.005859375,0.943359375
-0.432373047,-0.009033203,0.939697266
-0.429931641,-0.000976563,0.937255859
-0.432861328,-0.001953125,0.936767578
-0.428710938,-0.004882813,0.938964844
-0.428955078,-0.000732422,0.940185547
-0.43359375,-0.006591797,0.938964844
-0.432128906,-0.004638672,0.941894531
-0.430908203,-0.003417969,0.935546875
-0.429931641,-0.007324219,0.933349609
-0.436035156,-0.008056641,0.9375
-0.435058594,-0.004638672,0.941894531
-0.43359375,-0.002929688,0.936767578
-0.427734375,-0.000732422,0.937255859
-0.431152344,-0.001220703,0.937011719
-0.430908203,0.000488281,0.936523438
-0.426757813,0.000244141,0.936035156
-0.431396484,-0.004394531,0.94140625
-0.434326172,-0.007324219,0.939208984
-0.437011719,-0.006591797,0.940185547
-0.433349609,-0.006835938,0.937988281
-0.437011719,-0.006591797,0.935791016
-0.435302734,-0.007324219,0.932617188
-0.435546875,-0.002685547,0.933837891
-0.43359375,-0.003173828,0.935058594
-0.436279297,-0.002197266,0.938232422
-0.431396484,-0.004394531,0.937744141
-0.431152344,-0.003417969,0.939941406
-0.431396484,-0.010253906,0.937988281
-0.432128906,-0.005859375,0.939697266
-0.431884766,-0.010253906,0.939208984
-0.431640625,-0.002929688,0.935058594
-0.432861328,-0.004638672,0.938476563
-0.434326172,-0.003662109,0.9375
-0.43359375,-0.004882813,0.936279297
-0.432128906,-0.005615234,0.937255859
-0.436279297,-0.000488281,0.940429688
-0.434570313,-0.005371094,0.942871094
-0.432373047,-0.010009766,0.94140625
-0.433105469,-0.006347656,0.943359375
-0.434570313,-0.001464844,0.939453125
